Question, A, B, C, D, Answer
Quelles sont les solutions de l'équation (x + 2)(x - 3) = 0 ?, -2 et -3, -2 et 3, 2 et -3, 2 et 3, -2 et 3
Quelle est la forme d'une fonction affine ?, f(x) = ax + b, f(x) = ax, f(x) = a + b, f(x) = ax² + b, f(x) = ax + b
Quelle est la valeur interdite dans l'ensemble de définition de la fonction inverse ?, 1, -1, 0, 10, 0
Comment nomme-t-on la courbe représentant la fonction inverse ?, Une droite, Une parabole, Une hyperbole, Une superbole, Une hyperbole
Quelle est la forme générale d'un polynôme du second degré ?, f(x) = ax² + bx² + c, f(x) = ax² + bx + c, f(x) = ax² + bx + cx, f(x) = ax³ + bx + c, f(x) = ax² + bx + c
Factoriser E = (3x-1)(-1+3x)-4, Cette expression est factorisée, 3(-1+x)(3x+1), 2(3x-1)(-1+3x), (3x-3)², 3(-1+x)(3x+1)
Quel est son sens de variation si le coefficient d'une fonction affine est négatif?, Cette fonction est croissante, Cette fonction est strictement croissante, Cette fonction est décroissante, Cette fonction est constante, Cette fonction est décroissante
Soit P(x) = (x² + x + 1)(x - 1), Le polynôme P n'a pas de racine, Le polynôme P a une unique racine, Le polynôme P a exactement deux racines, Le polynôme P a exactement trois racines, Le polynôme P a une unique racine
Quel est l'antécédent de 11 par la fonction f(x)= 2x+1, 4, 5, 0, -4, 5
Une fonction f transforme un nombre 2 en un nombre f(2)=5. f(2) s’appellle, L’image de 2, L’image de 5, L'antécédent de 2, L'antécédent de 5, L’image de 2
Comment s'appelle la courbe de la fonction du second degré ?, Une hyperbole, Une parabole, Une constante, Une superbole, Une parabole
Soit f la fonction affine définie par f(x) = 2x + 3. Quelle est la solution de l'équation f(x) = 0 ?, x = 3/2, x = -2/3, x = -3/2, x = 2/3, x = -3/2
Quelle est la seule qui est une fonction linéaire parmi les fonctions proposées ?, g(x) = 3x², h(x) = -2x + 5, f(x) = 2x/5, k(x) = -3x², f(x) = 2x/5
Soit f la fonction affine définie par f(x) = -x + 2. Quel est son coefficient directeur ?, 2, 0, -1, -2, -1
